iter	R2	RMSE	MAE
0	-1.840300744	419242.8208	338040.7932
1	-1.735086578	411404.4735	328944.1321
2	-1.632673429	403628.6318	320141.7531
3	-1.538319529	396329.6978	311770.8849
4	-1.446773249	389117.1142	303754.6394
5	-1.356786691	381894.6806	295524.2023
6	-1.275942419	375287.5056	288281.9832
7	-1.196987232	368720.4602	281140.4152
8	-1.123009408	362459.4524	274451.674
9	-1.052201263	356363.6889	268045.0132
10	-0.9872745901	350681.1406	262107.5401
11	-0.924385561	345087.7282	256352.1067
12	-0.8628974861	339529.8401	250729.0506
13	-0.8083216091	334519.3981	245669.2575
14	-0.7553054027	329579.2153	240704.1796
15	-0.7046410351	324787.9739	236015.6593
16	-0.6556047462	320082.4053	231315.3834
17	-0.6073133823	315379.711	226807.0837
18	-0.5645949793	311160.4828	222825.6114
19	-0.52394222	307091.4473	219025.2426
20	-0.4843900282	303080.1438	215259.0283
21	-0.4467569579	299213.5525	211648.3046
22	-0.4105302165	295443.6551	208105.2833
23	-0.3783123859	292050.0602	205032.6716
24	-0.3462224436	288630.2755	201936.9553
25	-0.3144409381	285202.9471	198870.2568
26	-0.2833307541	281807.6456	195938.8316
27	-0.2572507599	278929.4844	193523.5644
28	-0.2287760476	275752.7417	190872.4817
29	-0.2026889502	272809.9029	188461.3331
30	-0.1790160244	270111.6554	186213.082
31	-0.1550733722	267354.9668	183912.4291
32	-0.13248108	264727.4328	181756.8914
33	-0.1095846003	262037.6409	179544.3322
34	-0.08883247425	259575.6817	177651.0852
35	-0.06807107435	257089.031	175742.4551
36	-0.05005218694	254911.1971	174126.7066
37	-0.03430117756	252992.1118	172719.727
38	-0.01904109359	251118.8532	171400.1242
39	-0.004136345673	249275.6252	170203.3109
40	0.01227468988	247230.2237	168780.0292
41	0.02612638858	245490.5448	167614.096
42	0.03967860099	243776.4643	166494.4991
43	0.05327577259	242044.4987	165366.9003
44	0.06850530159	240089.7748	164121.4993
45	0.08188141919	238359.7158	162999.1678
46	0.09447616978	236719.1608	162009.7987
47	0.1066057084	235128.383	160976.1992
48	0.1181655512	233602.2389	160006.2754
49	0.1287405842	232197.3254	159089.1067
50	0.138430925	230902.4397	158321.9051
51	0.1493709501	229431.7806	157462.3829
52	0.158547941	228190.8149	156756.4876
53	0.1677699044	226936.9319	156061.5859
54	0.1758804384	225828.4127	155410.8819
55	0.1849220344	224586.1897	154677.6007
56	0.1930831031	223459.0126	154080.0381
57	0.2003293244	222453.404	153561.0686
58	0.2091251304	221226.607	152830.3493
59	0.2170497456	220115.4644	152165.1263
60	0.2240169071	219133.9161	151661.1749
61	0.2303358231	218239.8765	151224.9659
62	0.2368914098	217308.4638	150773.604
63	0.2430462525	216430.3403	150371.4508
64	0.2493387273	215528.8819	149954.1635
65	0.2550784836	214703.3051	149570.9308
66	0.2616738139	213750.7299	149094.5709
67	0.2676942546	212877.4657	148662.6395
68	0.2732448322	212069.1692	148252.2264
69	0.2787500194	211264.4279	147868.4139
70	0.2833036864	210596.4548	147564.2262
71	0.2885276476	209827.5379	147211.7616
72	0.2922496293	209277.9745	147020.0553
73	0.2966280304	208629.6354	146746.9476
74	0.3013310436	207930.9769	146420.6472
75	0.3062099315	207203.7018	146034.7262
76	0.3115355681	206406.9064	145647.7166
77	0.3152515635	205849.1108	145442.4686
78	0.3187439947	205323.4923	145269.5901
79	0.3226612318	204732.3339	145055.112
80	0.3272316748	204040.434	144747.157
81	0.3323108813	203268.7516	144378.6985
82	0.337092754	202539.556	143987.754
83	0.3403645392	202039.1198	143853.6763
84	0.3438278143	201508.0402	143591.2483
85	0.3470924783	201006.132	143402.4258
86	0.3510843298	200390.7181	143064.4085
87	0.3543031865	199893.0949	142831.2427
88	0.3577155857	199364.1945	142624.9335
89	0.3608959187	198869.9965	142332.8818
90	0.3645658934	198298.1815	142107.8098
91	0.3668116165	197947.463	142037.6135
92	0.3694792606	197530.0432	141891.2298
93	0.3720704865	197123.7346	141719.7785
94	0.3743217321	196770.0545	141596.224
95	0.3771702055	196321.6342	141402.1694
96	0.3796373528	195932.4147	141207.5431
97	0.3819208231	195571.482	141063.3067
98	0.3840675441	195231.5558	140941.2604
99	0.3876387496	194664.7522	140596.2289
