iter	R2	RMSE	MAE
0	-1.844713168	404486.3001	326211.9797
1	-1.739839305	396960.3419	317438.8264
2	-1.638197371	389527.5836	308950.2458
3	-1.543507419	382473.2617	300905.721
4	-1.451708048	375507.7904	293234.12
5	-1.362624682	368622.5876	285427.5437
6	-1.280778185	362181.3643	278417.9017
7	-1.200074074	355715.8581	271475.0125
8	-1.126349536	349705.0497	265116.2537
9	-1.056053107	343875.8993	258854.8841
10	-0.9915077714	338435.2398	253225.2634
11	-0.9277867804	332976.8757	247597.5682
12	-0.8674805918	327727.3027	242274.2985
13	-0.8139109293	322992.5862	237476.0869
14	-0.7609992532	318246.8847	232748.4641
15	-0.7102180373	313624.7415	228091.4968
16	-0.661342266	309110.7666	223554.8444
17	-0.616168	304879.2216	219430.138
18	-0.5755611805	301024.7546	215729.1556
19	-0.5355044592	297173.5252	212116.3359
20	-0.4941449516	293143.9537	208456.6784
21	-0.4561776605	289395.489	205018.9113
22	-0.419857287	285763.6093	201699.4824
23	-0.3878665683	282526.0075	198879.6038
24	-0.355294537	279191.0031	195924.4026
25	-0.3239853847	275947.3137	193121.8189
26	-0.2944788668	272855.0885	190488.2293
27	-0.2689902661	270155.4421	188246.7007
28	-0.2400762833	267059.9577	185728.9843
29	-0.2143193423	264271.927	183511.7891
30	-0.1905814762	261676.1466	181458.9179
31	-0.1678302142	259163.8534	179429.862
32	-0.1464096627	256776.0383	177544.7002
33	-0.1248094798	254345.5005	175681.779
34	-0.1040683037	251989.5588	173960.6183
35	-0.08421279884	249713.3955	172360.8913
36	-0.06597826752	247604.6238	170839.896
37	-0.04949768488	245683.1194	169484.5867
38	-0.0342520949	243892.1262	168265.2191
39	-0.01896438548	242082.8801	167068.5649
40	-0.004563826923	240366.1697	165929.0688
41	0.009747746668	238647.8328	164840.5645
42	0.02524147045	236773.5018	163591.1756
43	0.03923390823	235067.9439	162468.006
44	0.05234016336	233459.103	161439.7968
45	0.06482436441	231916.243	160467.6091
46	0.07708769037	230390.6205	159504.3709
47	0.08847129793	228965.3421	158591.8535
48	0.0988162244	227662.3725	157821.2766
49	0.108939149	226380.1049	157082.603
50	0.1190921796	225086.6865	156292.1955
51	0.129137407	223799.645	155539.6796
52	0.137869894	222674.7537	154899.6361
53	0.1466286346	221540.7432	154305.3525
54	0.1556594707	220365.3935	153597.6978
55	0.164442654	219216.2307	152933.6624
56	0.172444884	218163.9755	152300.2205
57	0.180100604	217152.5124	151716.6573
58	0.1881316956	216086.3673	151097.2075
59	0.1966767438	214946.1868	150438.0845
60	0.2055761854	213752.2537	149709.1708
61	0.2111270329	213004.1731	149382.223
62	0.2165402025	212272.1082	149043.0918
63	0.222326755	211486.7455	148635.1215
64	0.2284644306	210650.5277	148230.4499
65	0.2340700473	209883.8886	147888.2082
66	0.2402814368	209031.1184	147479.7968
67	0.2453986587	208325.9455	147212.7431
68	0.2511691154	207527.8798	146848.0772
69	0.2571008599	206704.2961	146477.0706
70	0.262566927	205942.4527	146159.3515
71	0.2684388607	205120.8885	145778.8407
72	0.2731364821	204461.2497	145479.1593
73	0.2768774386	203934.4195	145299.3508
74	0.2801530364	203472.0046	145130.395
75	0.2852924607	202744.3484	144766.9589
76	0.2894533079	202153.3237	144510.7371
77	0.293406866	201590.1378	144298.6307
78	0.2972953838	201034.6779	144082.3913
79	0.3010879653	200491.4397	143827.8474
80	0.3046890722	199974.262	143623.5499
81	0.3091922995	199325.6368	143321.6144
82	0.3123502988	198869.5104	143219.9647
83	0.3162317035	198307.4616	142938.5458
84	0.3199337838	197769.8916	142740.0199
85	0.3224980914	197396.6766	142604.5687
86	0.3266461527	196791.4601	142315.164
87	0.330021944	196297.5433	142128.8277
88	0.3332251936	195827.7194	141978.6757
89	0.3366929262	195317.8295	141742.5451
90	0.340426889	194767.3011	141446.2184
91	0.3428102088	194415.0939	141335.1662
92	0.3456061042	194001.1011	141179.9023
93	0.3477702886	193680.0392	141103.9476
94	0.3508127068	193227.7872	140839.3728
95	0.3539092855	192766.3947	140574.4242
96	0.3567834332	192337.1542	140381.7956
97	0.359306974	191959.4838	140174.8467
98	0.3617898211	191587.1771	140089.3723
99	0.3657226798	190995.9536	139774.9224
